LINE,END_WORD
"Girl, you look beautiful tonight",tonight
"Stars on the roof, they matching with the jewelry",jewelry
"I've been waiting, I've been waiting for a long time",time
Such a long time,time
Such a long time (Ooh),ooh
"Ooh, this shit bliss, I'm so rich (turned as shit, ooh)",ooh
"Abs like Abercrombie Fitch (Damn, ooh)",ooh
Mille on my wrist,wrist
"Versace boxers on my dick (On my dick, damn)",damn
Bud Light running through my piss (Ooh),ooh
"On a yacht, fifty meters, insuffici— (insufficient)",insufficient
Fifty carats on my fist (On my fist),fist
"The roof go down when I hit switch (Ooh, bitch)",bitch
I money-ball like Bradley Pitt (Bradley Pitt yeah),yeah
I work so hard for all this shit (All this shit),shit
"Pumping out classics, in the Batmobile going bat shit",shit
Such a long time (damn),damn
"I've been waiting, I've been waiting for a long time (Such a long time)",time
Such a long time (Such a long time),time
"I'm in Saint-Tropez, I had to check wrist (Wow)",wow
I just bought my girl a new necklace (A new necklace),necklace
"I take 'em all, don't matter what the price is (What the price is)",is
I said I'm sorry mama for my vices (for my vices),vices
You'll never understand what my life is (what my life is),is
Shit I'm checking off my bucket list (My bucket list),list
"You try to give advice, I don't need it",it
I've been doing what I want since fetus,fetus
"What you call a holiday, I call another day",day
"And I ain't ever stopping, no apologies",apologies
"I've been waiting, I've been waiting for a long time (For a long time)",time
"I'm in Saint-Tropez, I had to check wrist",wrist
"Used to have friends, now I got enemies",enemies
"Used to keep 'em close, now they dead to me",me
"Enemies, yeah, so sad",sad
They said I would never get this far,far
"Think that we don't see who you are, are, are",are
"Laughing to the bank, like ha, ha, ha",ha
"That's it, I'm just talking too much, blah, blah, blah (Shut the fuck up)",up
"So, where did y'all go",go
"When I was shit broke, couldn't even buy smokes",smokes
Now your mama needs tickets to my stadium show,show
"She love it when she hear me on the radio, oh",oh
I know it's hard to swallow your pride,pride
Sorry that you can't get over me,me
"Now you're out my life, I'm so relieved, I",i
Money tend to show all their tendencies,tendencies
"Sometimes, every time they let me down",down
Close to my enemies (Let's go),go
I need better energy (Huh),huh
"When I told you, ""Fuck you"", you thought I was playin', huh? (Yeah, yeah)",yeah
But I meant that shit literally,literally
"She wanted to vibe, but I told her fuck that (Nope)",nope
She looked at me like she surprised,surprised
"The pack in the post and I'm home alone,",alone
"When the box hit the door, they go for 35",35
I try to put on for my partners they turn into enemies right before a nigga eye,eye
"You reach for a shake, I'ma hold out a fist, give a nigga a quarter pound without the fries",fries
I just went double platinum with no features just to show a nigga I don't really need him,him
"Pass a man a plate and he can make it shake, it's guaranteed to fold and bite the hand that feed him",him
And I know you think that I ain't see it,it
"And I know you bitch ain't got a car, don't make me go and buy a bitch a little Prius",prius
"Fuck her on the camera, we can call it even",even
"Friends are like the autumn, every year they leavin'",leaving
"And I'ma rake 'em in a pile, throw 'em in a bag",bag
Tie them bitches up and leave 'em,gem
'Cause most of these niggas are decievin',decieving
And I,i
It's too late to turn this shit around,around
Only held me down when you wanted me to drown,drown
So don't try and tell me that you're happy for me now,now
Money tend to show all they tendencies,tendencies
"My momma called, see you on TV, son",son
Said shit done changed ever since we was on,on
I dreamed it all ever since I was young,young
They said I would be nothing,nothing
"Now they always say, ""Congratulations"" (uh)",uh
"Worked so hard, forgot how to vacation (uh-huh)",uhhuh
They ain't never had the dedication (uh),uh
"People hatin', say we changed and, look, we made it (uh)",uh
"Yeah, we made it (uh)",uh
"They was never friendly, yeah",yeah
"Now I'm jumping out the Bentley, yeah",yeah
"And I know I sound dramatic, yeah",yeah
"But I know I had to have it, yeah",yeah
"For the money, I'm a savage, yeah",yeah
"I be itching like a addict, yeah",yeah
"I'm surrounded, twenty bad bitches, yeah",yeah
"But they didn't know me last year, yeah",yeah
Everyone wanna act like they important (yeah),yeah
"But all that mean nothing when I saw my dough, yeah (yeah)",yeah
"Everyone counting on me, drop the ball, yeah (yeah)",yeah
"Everything custom like I'm at the border, yah, yah",yah
"If you fuck with winning, put your lighters to the sky",sky
How could I make cents when I got millions on my mind?,mind
"Coming with that bullshit, I just put it to the side",side
"Balling since a baby, they could see it in my eyes",eyes
"Now they always say, ""Congratulations"" (congratulations)",congratulations
"Worked so hard, forgot how to vacation (ooh)",ooh
"They ain't never had the dedication (uh, ayy)",ayy
"Yeah, we made it (uh, yah)",yah
I was patient (yah),yah
"Uh, I was patient (ayy, uh)",uh
Now I can scream that we made it (we made it),it
"Now everywhere, everywhere I go, they say 'gratulation (uh)",uh
"Young nigga, young nigga, graduation (yah)",yah
"I pick up the rock and I ball, baby (ball)",ball
"I'm looking for someone to call, baby (brr)",brr
"But right now, I got a situation (ayy)",ayy
Never old Ben Ben Franklins (cash),cash
"Big rings, champagne (ooh, champagne)",champagne
My life is like a ball game (ball game),game
But instead I'm in the trap though (trap though),though
"Pot so big, call it Super Bowl (Super Bowl)",bowl
"Super Bowl, call the hoes (brr)",brr
Get in the Rolls (skrrt),skrrt
Top-floor lifestyle (top),top
"Huncho and Post (yah, ayy) Malone (ayy)",ayy
I gotta play on my phone (ayy),ayy
You know what I'm on (ayy),ayy
Huncho Houdini is gone (ayy),ayy
"Now they always say, ""Congratulations"" (ayy, uh)",uh
"Worked so hard, forgot how to vacation (uh-huh, ooh)",ooh
"They ain't never had the dedication (ayy, uh)",uh
"Yeah, we made it (ayy)",ayy
When I took a ride in the dead of night,night
Told myself that everything was okay,okay
Try to understand how you standin' over me,me
"Girl, it's drivin' me crazy",crazy
"Yeah, it's freezin' fuckin' cold in the dead of night",night
"The only heat, it come from the ashtray",ashtray
I might as well get high as hell and just keep actin' like,like
Everything doesn't phase me,me
"Yeah, take me all the way to the top, baby",baby
"Don't even if I tell you to stop, baby",baby
"Take me all the way to the sky, baby, baby",baby
I wanna go up there,there
And I don't ever wanna come down,down
I wanna see what's up there,there
Actin' like I got it all figured out,out
Must be better than the hell on the ground,ground
It's freezin' fuckin' cold in the dead of night,night
"And I'ma drop the top with no Rogaine (skrrt, skrrt, skrrt)",skrrt
And now might sound irrelevant but I prefer to stack my chips,chips
When everything fallin' (backwoods),backwoods
And I ain't religious but I look into the sky,sky
And pray to anyone holy,holy
I been drinkin' way too much and man I got the blues,blues
Because my baby don't hold me,me
I just came down from the high of my life,life
"I just, I just came down from the high of my life",life
"See us popping champagne, we could do it all night",night
"And if everything gone bad, we gon' make it alright",alright
How you expecting awards when you ain't put in work?,work
"And I just got off the phone, yeah, with my realtor",realtor
"And I've been eating so good that, bitch, my belly broke",broke
"And I might cop that Mulsanne cause, bitch, that Bentley talk",talk
Put that sauce on that bitch real quick,quick
Put that ice on that wrist real slick,slick
"Girl, I know you know my wallet's real thick",thick
"And I'm wonderin', wonderin' what you're drinking",drinking
"We don't fucking fuck with y'all, do we?",we
"We don't gotta stunt on y'all, do we?",we
Bring that money back to yours truly,truly
"When I'm rocking all my goddamn jewelry, yeah",yeah
"Hey, I just hopped out the foreign, looking so pretty, yeah",yeah
"And yeah, that watch on my arm look like a trillion",trillion
"You know that White Iverson, no, keep that jewelry tucked",tucked
"And I just bought out my brain, I feel like Bubba Chuck",chuck
"Girl, I'm zoned out, I feel my Xans",xans
Ain't nobody understand,understand
"It's you and I, go and call your friends",friends
Let's get a lot of kerosene,kerosene
You gon' ride that bump-and-grind,bumpandgrind
"Yeah, let me see that double-time",doubletime
"You ain't gotta tell them hoes because they know, yeah",yeah
When I'm rocking all my God damn jewelry,jewelry
"Tell me, who do you call?",call
When the night gets long,long
And you're sitting by the phone,phone
'Cause all those drugs wore off,off
"She said, ""Love me,"" so I love her",her
"She said, ""Leave me,"" so I left",left
Then I went to California,california
And I ain't never comin' back,back
I gotta high five from a brother,brother
I got bloodstains on the bed,bed
And I ain't sayin' that I love her,her
But this bitch is gonna drive me mad,mad
I said this bitch is gonna drive me mad,mad
You got just what I been looking for,for
But you can't bring yourself to say no,no
And I ain't never gonna let you go,go
"I kept wishing I would die, oh",oh
The whole plane ride home,home
And I wish I could,could
I know I should leave you alone,alone
I worship since I met you,you
I fell down to my knees,knees
And when no one would accept ya,ya
Throw myself up on a cross and bleed,bleed
I seen a dark cloud coming over,over
I seen some evil shit in her head,head
But she rode me like no other,other
And I've been looking for someone to put up with my bullshit,bullshit
I can't even leave my bedroom so I keep pouring,pouring
"And I ain't seen a light of day since, well that's not important",important
It's been long,long
"And I was feeling Whitney, me and my homies sip Houston",houston
"Cars and clothes, thought I was winning",winning
You knew I was losing,losing
"You told me to wake up, oh my clock always stays on snooze",snooze
And I'm done,done
To each their own and find peace in knowing,knowing
"Ain't always broken, but here's to hoping",hoping
"Show no emotion, against your coding",coding
And just act as hard as you can,can
You don't need a friend,friend
"Boy, you're the man",man
"Ooh, ooh, ooh, ooh, ooh, ooh-ooh",oohooh
"Ooh, ooh, ooh, ooh, ooh, ooh-ooh, ooh",ooh
And I've been looking for someone that I can buy my drugs from,from
