LINE,END_WORD
"Demented with the pen, I'll make the mothafucker detonate",detonate
"I wanna make it acapella, wait, I gotta set a date",date
"With the devil and celebrate, together we can renovate",renovate
"And re-develop hell awaits, and I'ma get a special place...now...",placenow
"Take a ride with me, hop into my time machine",machine
I'ma take the driver's seat as I thrust into hyperspeed,hyperspeed
"Like I'm a meteorite, and mothafuck the fucking media",media
"Right in the behind, I'm a human encyclopedia",encyclopedia
I must be like pie crust because I was bread to rise like I was yeast,yeast
And you're never gonna reach these heights,heights
They're just too high to reach,reach
And I ain't even reached my fuckin' highest,highest
"You better pick another game, try hide-and-seek",hide-and-seek
And you might wanna decide to cheat,cheat
'Cause you gotta open your eyes to peek,peek
Am I indeed the last of a dying breed?,breed
"Even if you fire-breathe, it ain't shit you can say to inspire heat",heat
If you wrapped your entire meat pad up in a dryer sheet,sheet
And I'm back to rule the kingdom of fuck it,it
Better not use me as your topic,topic
"Anybody who brings me up, duck it",it
Let me keep it one hundred,hundred
Two things shouldn't be your themes of discussion,discussion
The queen and her husband,husband
"Last thing you're gonna wanna be is our subjects, yeah",yeah
"Yo, let me hit you back",back
Told 'em I'd get you back,back
I know you sittin' there just thinkin' 'bout who did you that,that
I am who did you that,that
"You trippin', did you pack?",pack
Can't post on Nicki block unless you sellin' Nicki crack,crack
"Here, take a Nicki pack, check out this Nicki act",act
"Nicki this, Nicki that, all these bitches piggyback",piggyback
"Nicki back, ah, ah, ah back",back
"Ah, ah, ah back",back
"Ah, ah",ah
How dare all them mirror my style,style
The mandem want digits for dial,dial
"Inna the dance, we a go skin out time now",now
"I wanna come on, just suicidal",suicidal
"Yeah, on the real I'm these bitches' idol",idol
Gotta be dumb to make me your rival,rival
"'Cause I'm too powerful, yeah, you not powerful",powerful
So say your prayers 'cause you 'bout to die slow,slow
"Die slow, die slow",slow
"Jealousy is a disease, die slow",slow
"Tell her that jealousy is a disease, die slow",slow
I'm looking for a nigga to give some babies,babies
"A hand full of Weezy, sprinkle of Dave East",east
"Man, I ain't got no type, like Jxmmi and Swae Lees",lees
"But if he can't fuck three times a night, peace",peace
I tried to fuck 50 for a powerful hour,hour
But all that nigga wanna do is talk Power for hours,hours
"Beat the pussy up, make sure it's a K-O",k-o
Step your banks up like you're moving that ya-yo,ya-yo
Somebody go and make sure Karrueche okay though,though
I heard she think I'm tryna give the coochie to Quavo,quavo
"They always wanna beat it up, goon up the pussy",pussy
"Man, maybe I should let him autotune up the pussy",pussy
All these Bow Wow challenge niggas lying and shit,shit
"Man, these Fetty Wap niggas stay eyeing my shit",shit
"Drake worth a hundred milli, always buying me shit",shit
But I don't know if the pussy wet or if he crying and shit,shit
"Meek still be in my DMs, I be having to duck him",him
"""I used to pray for times like this""",this
Face ass when I fuck him,him
"Man, Uzi is my baby, he ain't takin' a L",el
"But he took it literally when I said, ""Go to hell""",hell
"Used to fuck with Young Thug, I ain't addressing this shit",shit
"C-c-caught him in my dressing room, stealing dresses and shit",shit
I used to give this nigga with a lisp tests and shit,shit
How you want the pu-thy? Can't say your S's and shit,shit
Dreams of fucking one of these little rappers,rappers
"I'm just playing, but I'm saying",saying
I remember when I used to have a crush on Special Ed,ed
"Shoutout Desiigner, 'cause he made it out of special ed",ed
"You wanna fuck me, you gotta give some special head",head
'Cause this pussy have these niggas on some special meds,meds
"Like Mike Tyson, he was biting my shit",shit
"Talking 'bout, ""Yo, why you got these niggas fighting and shit?""",shit
"On the real, I should make these niggas scrap for the pussy",pussy
"Young M.A. and Lady Luck, get the strap for this pussy, uh",uh
And I would've had Odell Beckham banging the cake,cake
'Til I saw him hopping out of cars dancing to Drake,drake
"I been a five-star bitch, man, word to Gotti",gotti
"I'ma do that nigga Future dirty, word to Scottie",scottie
"Had to cancel DJ Khaled, boy, we ain't speaking",speaking
Ain't no fat nigga telling me what he ain't eating,eating
"YG and The Game with the hammer yelling, ""Gang, gang""",gang
This ain't what I meant when I said a gang bang,bang
"Tekashi want a ménage, I said tre-way",tre-way
Curved him and went the Kim and Kanye way,way
"Em, cop the Barbie Dreamhouse then you can play the part",part
I ain't tryna bust it open in the trailer park,park
Barbie dreams,dreams
You know I'm all about them dollars,dollars
I be supporting them scholars,scholars
I let him give me some brain,brain
But he wanted me to ride it,it
"So I said, ""Fuck it, I'm in""",in
He want a cut like a trim,trim
And if he act like he know,know
I let him fuck it again,again
"I got them bars, I'm indicted",indicted
"I'm popping, I'm uninvited",uninvited
"I said just lick on the clitoris, nigga, don't fucking bite it",it
"I ride his, in the circle",circle
I turn Stefan into Urkel,urkel
I go around and around and I'ma go down in slow motion,motion
"Then I pick it up, look at it",it
"I said, ""Daddy, come get at it,"" uh",uh
"Yellow brick road, he said that I am a wiz at it",it
"Yeah, they want it, want it",it
"You know I flaunt it, flaunt it",it
I'm a trendsetter,trendsetter
"Everything I do, they do",do
"Yeah, put 'em up on it, on it",it
"Dimelo papi, papi",papi
"Yo quiero sloppy, sloppy",sloppy
"I'll give it to you if you beat it up like Pacqui, Pacqui",pacqui
"I'ma kill 'em with the shoe, no ceiling is in the roof",roof
"And I'm big, give me the loot, twelve cylinders in the Coupe",coupe
"I get dome with the chrome, no telling when I'ma shoot",shoot
"I just bang, bang, bang, real killers is in my group",group
"Gorillas is in my unit, vacationin' where it's humid",humid
"And I shine, shine, shine, got diamonds all in my cubans",cubans
I'm in LA Times more than when niggas lootin',lootin
"And my flow spit crack, I think that nigga usin'",usin
"He done bodied everybody, in closing these bitches losin'",losin
"Using, using up a bitch movin'",movin
No I ain't stuttered and no I ain't Ruben,ruben
"Damn, a bitch snoozin'",snoozin
"Shoutout to my Jews, l'chaim, Rick Rubin",rubin
"Big fat titties, yes, they be protrudin'",protrudin
"I be like, fuck 'em, fuck 'em, bring the lube in",in
"I be like fuck 'em, fuck 'em, bring the lube in",in
Put you in a room,room
You ain't gotta leave,leave
But you can't sleep with me,me
Every time I come to fuck with you,you
You make up all the rules,rules
You ought to do it,it
Just because our car's moving,moving
Are you in my fucking corner for real?,real
"Oh, are you plotting to kill?",kill
I tell you just how I feel,feel
But you never hear,hear
"Oh, why you take it like that?",that
Now you wanna leave and never come back,back
"I don't control you, I ain't never say that",that
"Can't give up on you, baby, we go way back",back
Every time I try to fuck with you,you
Nothing ain't ever enough for you,you
And I had all this hope for you,you
But all you do is open wounds,wounds
I could be fucking with them other niggas,niggas
I know you ain't them other niggas,niggas
I don't fuck with a lot of bitches,bitches
Just my real bitches,bitches
"Why you keep talking about it, you keep talking and you gon' get me pissed off",off
Motherfuckers who be wanting that bitch to go crazy if she could cut her wrist off,off
"I ain't gonna lie, no I ain't gonna lie like it was just his fault",fault
"But I know if a nigga lose me, then nigga, Oo-ee, that's his loss, young nigga",nigga
You hear that right there?,there
"That sound like, but that 300 thousand",thousand
I'm triple OG in my hood,hood
These hoes call me big daddy,daddy
Your bitch call me big daddy,daddy
Tell that bitch that I'm big daddy,daddy
When I hit the lot I don't get the little bitch,bitch
Nigga I go and get the big daddy,daddy
Pick a bitch up in the big daddy,daddy
Big face Rollie that's a big daddy,daddy
Got your bitch calling me big daddy,daddy
When I pull up all the hoes like big daddy,daddy
Nigga I'm big daddy,daddy
Standin' in the corner in some shit that look like I payed like a million for,for
Blowin' the money I heard that they askin' around town what he really worth,worth
My niggas be really broke I went the Hardaway boy had a penny first,first
Now these bitches gon' get this work,work
I tell her keep on them heels and that mini skirt,skirt
"She Google my net worth, lookin' like ""what is his neck worth?""",worth
"My shooters, they shoot at your head, like the rim just to see if the net work",work
I land in Miami then fly out to Cali with some of my best work,work
You niggas so lame that my bitches won't fuck unless you cut a check first,first
"Pulled up in something that look like a million, nigga put me up on",on
